,f01,f02,f03,f04,f05,f06,f07,f08,f10,kospi_close,kosdaq_close,k200_close,kospi_close_ret1d,kosdaq_close_ret1d,k200_close_ret1d
f01,1.0,0.05600903610091839,0.2445040779925505,0.26093591519435605,-0.4225533771385875,0.04405838368833052,0.15684089907156376,0.2144033147910082,0.20950190972355423,0.3747900839301324,0.23699356167401103,0.39270390953987466,0.1639092229891778,0.10827197750271655,0.16921687812219224
f02,0.05600903610091839,1.0,0.19949513237739847,0.4890544156390537,-0.005357374228659836,-0.0014226739437925141,0.09413913954986847,0.4365754325715194,-0.044340594313744215,0.004392454805707443,-0.0020878069978215144,0.007454082603444482,0.7188936309399129,0.799560074981312,0.6819911261957488
f03,0.2445040779925505,0.19949513237739847,1.0,0.21901393590076293,-0.05684278910767271,-0.010938116874753186,0.28784234995679414,0.15178125443348148,-0.06356438051834316,-0.007854751693361101,0.005015794151185922,-0.007304070484031023,0.17445918008772865,0.17454459998819888,0.16030272931200878
f04,0.26093591519435605,0.4890544156390537,0.21901393590076293,1.0,-0.2051749768451315,-0.06919344932599829,0.07939200731819102,0.38876380006815375,0.008476924744773405,0.07172489964146098,0.09125954752200895,0.079110114332941,0.5952929733757362,0.46554228445906676,0.5844086142981856
f05,-0.4225533771385875,-0.005357374228659836,-0.05684278910767271,-0.2051749768451315,1.0,-0.18830826264289094,0.020424956827436936,-0.012419789157693371,-0.10213723102040491,0.07228562885077869,-0.24766862359000372,0.07050851955587391,-0.029352723897271317,-0.0396982997656374,-0.025730241769438014
f06,0.04405838368833052,-0.0014226739437925141,-0.010938116874753186,-0.06919344932599829,-0.18830826264289094,1.0,0.0003413050975606598,0.19487029535933842,-0.11640782603089915,-0.11927401176315994,0.14751140897965548,-0.15106894089995798,0.03364919763982418,0.035346416029050934,0.033958234912597904
f07,0.15684089907156376,0.09413913954986847,0.28784234995679414,0.07939200731819102,0.020424956827436936,0.0003413050975606598,1.0,0.13640633002320504,-0.046191139597127465,-0.14675776089403977,-0.26603109974016875,-0.12573420903592022,0.10388367704531047,0.08404488266321392,0.10222570642295627
f08,0.2144033147910082,0.4365754325715194,0.15178125443348148,0.38876380006815375,-0.012419789157693371,0.19487029535933842,0.13640633002320504,1.0,-0.016149429748677512,0.0887654444598754,0.10965060516522057,0.08431393051401047,0.5490251887985336,0.409158188157448,0.5682940772135748
f10,0.20950190972355423,-0.044340594313744215,-0.06356438051834316,0.008476924744773405,-0.10213723102040491,-0.11640782603089915,-0.046191139597127465,-0.016149429748677512,1.0,0.11075844502603222,0.20481187711391685,0.10712032345642253,-0.019788300011722843,-0.03065946644002189,-0.014715835530125477
kospi_close,0.3747900839301324,0.004392454805707443,-0.007854751693361101,0.07172489964146098,0.07228562885077869,-0.11927401176315994,-0.14675776089403977,0.0887654444598754,0.11075844502603222,1.0,0.7289584523451169,0.996094611854624,0.10594267912276663,0.057901510559877176,0.11001089029805272
kosdaq_close,0.23699356167401103,-0.0020878069978215144,0.005015794151185922,0.09125954752200895,-0.24766862359000372,0.14751140897965548,-0.26603109974016875,0.10965060516522057,0.20481187711391685,0.7289584523451169,1.0,0.6892560942090895,0.0685834109915395,0.06314539847408182,0.06581787652477455
k200_close,0.39270390953987466,0.007454082603444482,-0.007304070484031023,0.079110114332941,0.07050851955587391,-0.15106894089995798,-0.12573420903592022,0.08431393051401047,0.10712032345642253,0.996094611854624,0.6892560942090895,1.0,0.10984516143139803,0.0588213106812048,0.11489096531152401
kospi_close_ret1d,0.1639092229891778,0.7188936309399129,0.17445918008772865,0.5952929733757362,-0.029352723897271317,0.03364919763982418,0.10388367704531047,0.5490251887985336,-0.019788300011722843,0.10594267912276663,0.0685834109915395,0.10984516143139803,1.0,0.8021211677072304,0.9903715196514068
kosdaq_close_ret1d,0.10827197750271655,0.799560074981312,0.17454459998819888,0.46554228445906676,-0.0396982997656374,0.035346416029050934,0.08404488266321392,0.409158188157448,-0.03065946644002189,0.057901510559877176,0.06314539847408182,0.0588213106812048,0.8021211677072304,1.0,0.755834469422799
k200_close_ret1d,0.16921687812219224,0.6819911261957488,0.16030272931200878,0.5844086142981856,-0.025730241769438014,0.033958234912597904,0.10222570642295627,0.5682940772135748,-0.014715835530125477,0.11001089029805272,0.06581787652477455,0.11489096531152401,0.9903715196514068,0.755834469422799,1.0
